"last_name, first_name","2016","2017","+/-","2018","+/-","2019","+/-","2020","+/-","2021","+/-","2022","+/-","2023","+/-","2024","+/-"
"Donovan, Brendan",,,,,,,,,,,,0.339,,0.354,0.015,0.335,-0.019
"Stott, Bryson",,,,,,,,,,,,0.284,,0.309,0.025,0.306,-0.003
"Alvarez, Francisco",,,,,,,,,,,,0.421,,0.305,-0.116,0.289,-0.016
"De La Cruz, Elly",,,,,,,,,,,,,,0.303,,0.328,0.025
"Abrams, CJ",,,,,,,,,,,,0.266,,0.304,0.038,0.319,0.015
"Greene, Riley",,,,,,,,,,,,0.316,,0.365,0.049,0.353,-0.012
"Carroll, Corbin",,,,,,,,,,,,0.293,,0.344,0.051,0.324,-0.02
"Henderson, Gunnar",,,,,,,,,,,,0.338,,0.346,0.008,0.374,0.028
"Volpe, Anthony",,,,,,,,,,,,,,0.308,,0.278,-0.03
"Vaughn, Andrew",,,,,,,,,,0.332,,0.319,-0.013,0.319,0,0.319,0
"Doyle, Brenton",,,,,,,,,,,,,,0.258,,0.329,0.071
"Massey, Michael",,,,,,,,,,,,0.332,,0.319,-0.013,0.309,-0.01
"Brennan, Will",,,,,,,,,,,,0.324,,0.305,-0.019,0.302,-0.003
"Yoshida, Masataka",,,,,,,,,,,,,,0.325,,0.322,-0.003
